Geneid	./SRR15174659	./SRR15174661	./SRR15174663	./SRR15174670	./SRR15174671	./SRR15174672
AF52_01888	861	597	809	1057	1058	1494
AF52_01889	933	533	670	1019	1140	1493
AF52_01890	1338	622	1291	944	1134	1748
AF52_01891	3664	2003	3009	3815	2954	4934
AF52_01892	1082	444	1041	1044	1246	1724
AF52_01893	769	554	439	1578	1345	1868
AF52_01894	503	164	391	1078	959	1462
AF52_01895	626	254	310	1516	1294	2206
AF52_01896	490	253	390	2172	1892	3254
AF52_01897	818	308	602	1490	1439	2241
AF52_01898	1286	911	979	2966	2886	4858
AF52_01899	318	204	388	675	573	695
AF52_01900	1381	862	995	3188	2686	4039
AF52_01901	728	302	559	2219	1784	2895
AF52_01902	1707	998	1776	2003	1480	2032
AF52_01903	976	373	690	328	498	730
AF52_01904	2078	782	1855	1258	831	1312
AF52_01905	9845	5808	8747	3483	2948	5138
AF52_01906	4525	2838	3933	3031	2664	4113
AF52_01907	250	217	305	72	162	242
AF52_01908	2718	1766	2416	1814	1841	2499
AF52_01909	3138	1716	2760	3410	3448	5425
AF52_01910	3472	1987	2821	2818	2589	3789
AF52_01911	1130	771	1254	587	711	742
AF52_01912	3305	1702	2928	3273	2400	5623
AF52_01913	3837	1659	2716	3625	2803	3696
AF52_01914	1086	516	879	1388	1207	1927
AF52_01915	497	247	441	998	872	1615
AF52_01916	189	52	131	215	161	410
AF52_01917	992	451	858	1299	1072	1715
AF52_01918	9	5	14	61	108	97
AF52_01919	246	105	195	377	291	460
AF52_01920	1190	538	1382	1750	1111	1945
AF52_01921	479	241	237	477	530	802
AF52_01922	300	156	306	970	753	1209
AF52_01923	262	151	226	397	479	333
AF52_01924	1193	541	1204	1264	1144	1646
AF52_01925	953	489	802	973	730	1303
AF52_01926	83	29	49	254	229	372
AF52_01927	230	64	214	102	102	229
AF52_01928	41	12	6	12	56	79
AF52_01929	44	20	38	178	53	166
AF52_01930	2690	1492	1623	1370	1425	1740
AF52_01931	121	60	66	159	134	303
AF52_01932	96	9	111	214	67	177
AF52_01933	338	201	164	187	153	447
AF52_01934	131	42	118	250	349	322
AF52_01935	19	0	18	62	42	110
AF52_01936	358	210	265	2664	2216	3269
AF52_01937	263	244	381	2452	2539	3526
AF52_01938	156	47	98	2206	1866	2729
AF52_01939	61	77	31	1179	925	1867
AF52_01940	146	86	120	690	486	929
AF52_01941	61	63	22	234	308	550
AF52_01942	87	59	28	2608	1850	3316
AF52_01943	35	48	102	314	192	382
AF52_01944	76	0	79	69	97	190
AF52_01945	38	56	31	88	54	58
AF52_01946	54	28	116	82	74	110
AF52_01947	1006	431	725	1259	1107	1653
AF52_01948	0	0	0	0	0	0
AF52_01949	0	0	0	0	0	0
AF52_01950	0	0	0	0	0	0
AF52_01951	0	0	0	0	0	0
AF52_01952	0	0	0	0	0	0
