Geneid	./SRR15174659	./SRR15174661	./SRR15174663	./SRR15174670	./SRR15174671	./SRR15174672
AF52_02339	933	498	653	917	765	1183
AF52_02340	715	339	445	675	725	947
AF52_02341	61	20	77	67	146	111
AF52_02342	265	57	85	332	388	460
AF52_02343	145	23	63	117	176	280
AF52_02344	290	75	142	197	285	398
AF52_02345	1033	425	809	1244	1123	1738
AF52_02346	581	381	416	929	561	1318
AF52_02347	476	166	312	1574	1244	2041
AF52_02348	1070	484	820	1456	1217	1880
AF52_02349	648	515	463	1163	866	1598
AF52_02350	884	347	583	1577	1983	2810
AF52_02351	1722	1003	1937	3811	2569	4527
AF52_02352	545	312	321	2373	1716	2741
AF52_02353	840	320	624	1720	1367	2124
AF52_02354	5091	2755	3912	8036	7393	11452
AF52_02355	9904	5787	8494	13888	11404	17167
AF52_02356	2045	819	1650	978	967	1582
AF52_02357	3193	1849	3062	719	796	1210
AF52_02358	2966	1702	2436	1789	1722	2895
AF52_02359	3309	1646	2667	3354	3550	4489
AF52_02360	2452	1563	2203	3502	3254	5222
AF52_02361	6649	3355	5421	4955	4138	7682
AF52_02362	5125	2972	5200	482	659	904
AF52_02363	2067	1162	1803	2669	1755	3590
AF52_02364	3498	1680	3094	1884	1708	3112
AF52_02365	10910	5489	10438	7597	6990	11410
AF52_02366	164	56	180	182	100	139
AF52_02367	25	0	20	30	24	22
AF52_02368	135	63	85	257	145	172
AF52_02369	1519	555	1004	1622	1319	1672
AF52_02370	958	429	1038	948	660	1168
AF52_02371	1917	1228	1852	868	585	1157
AF52_02372	496	309	453	198	169	388
AF52_02373	2558	1407	2690	1147	996	1489
AF52_02374	1291	388	623	1146	1007	2033
AF52_02375	2140	1143	1663	1875	2041	2754
AF52_02376	1827	964	1558	539	641	540
AF52_02377	3867	2435	3485	3957	3586	5891
AF52_02378	58330	38068	57404	34098	31958	45197
AF52_02379	3794	2227	3377	5491	5123	6679
AF52_02380	445	236	385	615	290	623
AF52_02381	2771	1772	2905	2558	2368	4556
AF52_02382	2075	1271	1732	681	700	1299
AF52_02383	1550	733	1279	643	806	1015
AF52_02384	127	109	108	235	146	299
AF52_02385	1884	1077	1540	2128	1633	3605
AF52_02386	837	493	837	883	896	1111
AF52_02387	439	210	401	780	378	677
AF52_02388	848	673	676	1265	1102	1600
AF52_02389	1402	674	1322	2228	1824	2640
AF52_02390	712	446	610	892	1040	1674
AF52_02391	6803	4187	6229	1639	1344	2223
AF52_02392	1227	828	1302	1310	1347	2094
AF52_02393	928	584	768	10108	8705	15614
AF52_02394	2605	1186	2008	25482	22812	40372
AF52_02395	2194	1083	2282	4018	3727	5827
AF52_02396	5080	2710	4033	5026	4004	7555
AF52_02397	844	550	823	4156	3505	5248
AF52_02398	10799	6137	9520	6249	5505	9377
AF52_02399	152	71	47	121	97	124
AF52_02400	1051	499	799	1305	1171	1803
AF52_02401	158	46	88	213	177	458
AF52_02402	145	115	102	163	257	293
AF52_02403	57	45	56	120	132	108
AF52_02404	681	442	520	403	286	319
AF52_02405	4293	2649	3289	3710	3052	4466
AF52_02406	2909	1251	2497	2629	2611	4048
AF52_02407	741	259	787	299	223	290
AF52_02408	81	16	88	80	54	43
AF52_02409	64	48	12	137	58	60
AF52_02410	62	6	44	94	171	127
AF52_02411	0	6	70	82	0	96
AF52_02412	4198	1928	3530	2160	1918	3072
AF52_02413	1410	669	1443	5092	4490	6567
AF52_02414	1799	1073	1271	5158	4788	7508
AF52_02415	2574	1272	2114	3399	2914	4470
AF52_02416	2991	1562	2474	548	510	857
AF52_02417	1663	845	1669	381	275	611
AF52_02418	1382	927	1313	301	314	453
AF52_02419	1659	1000	1549	554	523	681
AF52_02420	4603	2753	3966	4261	4150	6801
AF52_02421	2194	1146	2019	1043	1018	1918
AF52_02422	574	390	581	608	658	847
AF52_02423	66344	38916	58458	32078	29205	45611
AF52_02424	1943	937	1839	8278	7212	10844
AF52_02425	327	213	288	153	46	121
AF52_02426	1755	1036	1163	930	817	1465
AF52_02427	382	123	218	600	639	863
AF52_02428	2161	1563	1845	2493	2377	3673
AF52_02429	900	529	711	1478	1196	2076
AF52_02430	741	512	643	1138	1529	1418
AF52_02431	1016	484	867	1356	1103	1739
AF52_02432	62	46	56	189	75	175
AF52_02433	3	5	46	86	12	58
AF52_02434	0	0	0	19	20	17
AF52_02435	0	3	1	19	65	22
AF52_02436	496	263	468	977	835	1362
AF52_02437	153	69	101	429	371	265
AF52_02438	191	98	188	341	275	404
AF52_02439	201	81	149	188	141	228
AF52_02440	297	83	212	509	522	731
AF52_02441	510	232	377	701	698	1271
AF52_02442	1100	552	887	5198	4449	7671
AF52_02443	873	537	757	666	502	937
AF52_02444	106	66	85	188	168	185
AF52_02445	383	212	236	686	744	889
AF52_02446	831	549	724	1682	1651	2407
AF52_02447	919	451	823	2486	2299	3420
AF52_02448	16283	8289	13549	52119	40240	70264
AF52_02449	302	266	165	589	586	1148
AF52_02450	1501	1206	1105	1711	1747	2416
AF52_02451	1797	877	1254	1444	1460	2250
AF52_02452	554	271	475	550	422	604
AF52_02453	1157	684	871	967	786	1188
AF52_02454	104	21	65	82	151	164
AF52_02455	23	18	22	16	57	138
AF52_02456	184	22	120	251	369	516
AF52_02457	114	74	153	313	283	227
AF52_02458	285	114	220	579	531	745
AF52_02459	87	60	107	1387	953	1475
AF52_02460	258	79	173	3702	3823	5124
AF52_02461	800	449	785	4146	3825	5245
AF52_02462	328	188	288	5381	5377	7859
AF52_02463	578	159	390	9515	8576	12722
AF52_02464	67	17	32	125	198	199
AF52_02465	589	290	492	454	472	1083
AF52_02466	1730	1247	1987	538	367	995
AF52_02467	94	73	69	246	161	347
AF52_02468	446	369	380	632	541	824
AF52_02469	624	353	485	1771	1757	2434
AF52_02470	402	244	229	624	502	714
AF52_02471	146	79	104	457	296	353
AF52_02472	281	97	251	496	420	728
AF52_02473	353	78	125	222	391	497
AF52_02474	74	29	86	67	81	114
AF52_02475	77	17	45	102	102	234
AF52_02476	0	0	0	0	18	76
AF52_02477	269	75	166	539	449	392
AF52_02478	286	110	176	509	548	716
AF52_02479	43	17	49	66	15	40
AF52_02480	13	8	2	20	79	23
AF52_02481	35	48	30	35	62	71
AF52_02482	1259	802	1125	1789	1417	2311
AF52_02483	852	607	1007	1793	1671	2431
AF52_02484	4076	2345	3006	8549	8916	14190
AF52_02485	1015	477	864	1440	1132	1851
AF52_02486	61	100	158	325	279	280
AF52_02487	13	15	78	217	107	209
AF52_02488	1511	705	1264	2094	2011	2894
AF52_02489	18	33	38	178	217	246
AF52_02490	0	0	14	76	21	61
AF52_02491	16	5	12	29	23	28
AF52_02492	221	89	270	227	284	319
AF52_02493	510	349	476	1148	967	1396
AF52_02494	49	16	64	130	49	167
AF52_02495	105	73	96	164	118	320
AF52_02496	19	32	0	30	74	77
AF52_02497	72	34	47	124	122	221
AF52_02498	154	135	65	1856	1645	2611
AF52_02499	124	70	4	956	669	1588
AF52_02500	570	722	750	1282	934	1669
AF52_02501	377	273	263	536	207	572
AF52_02502	24	0	32	66	101	128
AF52_02503	10	10	18	164	36	138
AF52_02504	24	0	0	19	55	18
AF52_02505	8	60	15	91	59	36
AF52_02506	127	11	70	164	165	253
AF52_02507	1332	685	1050	1229	1162	1383
AF52_02508	96	35	68	192	175	469
AF52_02509	135	69	149	313	226	428
AF52_02510	554	298	498	910	661	1106
AF52_02511	134	19	167	106	181	185
AF52_02512	81	30	106	432	318	468
AF52_02513	1974	1028	1734	2450	2258	3218
AF52_02514	484	259	351	714	453	626
AF52_02515	24	48	40	48	14	90
AF52_02516	958	297	452	609	553	935
AF52_02517	201	90	267	176	77	310
AF52_02518	123	75	163	374	207	322
AF52_02519	1072	442	793	1388	1148	1741
AF52_02520	3	28	0	52	37	106
AF52_02521	20	29	20	32	59	89
AF52_02522	55	28	28	43	29	39
AF52_02523	436	163	196	604	532	666
AF52_02524	106	25	100	208	192	517
AF52_02525	19	0	10	290	194	168
AF52_02526	57	12	21	349	285	287
AF52_02527	13	0	5	154	173	258
AF52_02528	0	0	3	18	95	95
AF52_02529	0	0	3	25	34	70
AF52_02530	206	91	203	320	223	344
AF52_02531	216	148	222	348	334	695
AF52_02532	143	105	150	199	121	347
AF52_02533	94	111	112	1347	1199	1512
AF52_02534	412	121	379	2148	1812	2833
AF52_02535	692	326	487	1533	1279	1927
AF52_02536	785	376	491	912	592	1085
AF52_02537	148	96	273	368	357	456
AF52_02538	153	162	121	5252	4207	5689
AF52_02539	1091	425	852	10420	7835	13482
AF52_02540	322	272	290	749	473	825
AF52_02541	973	341	757	1010	781	1360
AF52_02542	525	91	248	480	362	409
AF52_02543	2	10	1	22	1	13
AF52_02544	41	5	106	136	97	289
AF52_02545	400	103	385	410	371	502
AF52_02546	274	123	193	306	244	524
AF52_02547	456	376	660	155	141	275
AF52_02548	482	260	247	117	66	174
AF52_02549	59	21	51	37	29	57
AF52_02550	478	173	308	301	249	381
AF52_02551	1141	446	819	3547	2799	4866
AF52_02552	335	117	166	632	485	866
AF52_02553	139	6	71	144	48	160
AF52_02554	69	121	56	194	15	180
AF52_02555	271	234	237	764	476	921
AF52_02556	145	76	111	189	108	368
AF52_02557	252	197	166	388	727	658
AF52_02558	6112	2935	4885	939	947	1226
AF52_02559	4826	2281	3798	3726	3261	5132
AF52_02560	993	459	833	1302	1187	1783
AF52_02561	1365	803	1063	423	254	461
AF52_02562	603	422	539	158	360	342
AF52_02563	581	403	509	371	297	522
AF52_02564	3121	1553	2351	3507	3073	4454
AF52_02565	288	112	246	311	429	598
AF52_02566	203	96	292	268	232	237
AF52_02567	61	14	73	216	128	367
AF52_02568	700	456	586	807	633	1493
AF52_02569	160	171	192	502	413	404
AF52_02570	153	107	140	118	69	220
AF52_02571	102	164	186	419	345	537
AF52_02572	151	57	75	386	345	422
AF52_02573	31	0	26	115	66	62
AF52_02574	161	135	152	183	117	237
AF52_02575	120	58	118	75	63	186
AF52_02576	311	269	221	421	669	768
AF52_02577	81	3	47	317	206	576
AF52_02578	56328	32146	44696	24783	29221	27941
AF52_02579	2238	1824	2128	2121	2013	2518
AF52_02580	113	18	33	47	101	92
AF52_02581	1803	1258	1823	2012	1914	2880
AF52_02582	1652	746	1367	867	714	922
AF52_02583	1099	589	910	822	848	810
AF52_02584	1217	727	1038	2771	2546	3323
AF52_02585	588	645	596	3361	3043	3611
AF52_02586	355	214	329	911	1123	1166
AF52_02587	414	173	339	3919	4240	5796
AF52_02588	254	131	339	13151	11853	15665
AF52_02589	3396	1802	2668	3342	3035	4669
AF52_02590	1288	913	1043	1713	1396	2176
AF52_02591	2399	1669	1758	2287	1980	3233
AF52_02592	3674	1968	2299	2114	1935	3347
AF52_02593	694	445	429	2968	2605	4453
AF52_02594	4783	2456	4702	5342	4439	8358
AF52_02595	12440	6279	11315	8857	8005	11806
AF52_02596	2998	1329	2475	1517	1153	1926
AF52_02597	1050	474	815	1451	1178	1898
AF52_02598	1239	829	1407	4332	3090	5009
AF52_02599	4711	2461	3263	7241	5910	9762
AF52_02600	3756	2316	2695	1613	1746	2639
AF52_02601	4147	2723	3838	2177	1984	3087
AF52_02602	6593	4798	4621	2522	2768	3956
AF52_02603	21064	12340	16708	5227	5066	6226
AF52_02604	10173	7238	8763	1418	1091	1442
AF52_02605	15049	8224	12374	1666	1481	1831
AF52_02606	6303	3804	6124	779	700	1308
AF52_02607	8798	5470	8086	3472	3418	5397
AF52_02608	12145	7546	11365	3340	3005	4646
AF52_02609	808	509	544	1768	1373	2525
AF52_02610	828	387	701	1486	1584	2072
AF52_02611	511	319	507	354	316	637
AF52_02612	928	498	419	871	814	1059
AF52_02613	958	242	831	1161	778	1334
AF52_02614	469	157	280	811	849	1126
AF52_02615	964	449	774	1318	1149	1756
AF52_02616	34	9	56	125	180	137
AF52_02617	269	121	173	647	454	721
AF52_02618	329	184	210	425	372	626
AF52_02619	484	211	305	799	716	1071
AF52_02620	5647	3370	5267	3512	3931	5753
AF52_02621	850	563	908	927	1039	1271
AF52_02622	433	210	383	1962	1334	2407
AF52_02623	588	174	526	544	632	568
AF52_02624	584	296	312	519	410	707
AF52_02625	198	78	147	110	94	416
AF52_02626	2225	1323	1825	858	775	1108
AF52_02627	20296	11388	16929	15022	13138	20154
AF52_02628	53837	24246	40931	31047	24820	43396
AF52_02629	9526	5990	7423	5773	5446	7565
AF52_02630	3814	2034	3432	974	919	1381
AF52_02631	3796	1661	2832	1285	1262	1643
AF52_02632	10265	5929	8875	4663	4220	6428
AF52_02633	1241	558	825	1749	1608	2114
AF52_02634	1560	750	1207	2125	1963	2897
AF52_02635	242	58	117	463	214	691
AF52_02636	902	531	853	2880	2151	3811
AF52_02637	613	365	591	2953	2680	3653
AF52_02638	2292	1209	1397	74736	65778	104710
AF52_02639	636	388	480	73742	70191	106953
AF52_02640	330	186	164	1597	1725	2062
AF52_02641	485	267	315	1588	1200	1953
AF52_02642	161	75	228	1353	1125	1425
AF52_02643	104	93	114	306	329	415
AF52_02644	104	82	119	167	93	197
AF52_02645	90	35	70	119	81	170
AF52_02646	99	91	92	147	203	313
AF52_02647	311	192	225	577	489	736
AF52_02648	388	244	356	950	697	1255
AF52_02649	178	25	153	380	339	379
AF52_02650	1515	496	1015	2794	2379	4650
AF52_02651	5298	2805	4233	9433	7795	11211
AF52_02652	1087	495	969	2264	1530	2972
AF52_02653	420	268	462	4023	3401	5402
AF52_02654	472	380	342	1664	1659	2354
AF52_02655	613	458	587	2254	2055	3124
AF52_02656	2172	1061	1590	12167	10438	17046
AF52_02657	269	117	278	500	522	845
AF52_02658	682	321	508	905	789	1220
AF52_02659	1179	840	784	1009	927	1440
AF52_02660	851	255	505	298	230	301
AF52_02661	285	115	272	453	253	494
AF52_02662	596	315	779	1735	1332	1994
AF52_02663	487	260	542	1298	1064	1661
AF52_02664	371	266	374	658	727	1510
AF52_02665	1430	1022	1304	549	357	748
AF52_02666	544	256	580	161	124	214
AF52_02667	242	78	184	187	114	220
AF52_02668	261	325	243	604	630	883
AF52_02669	80	38	80	25	130	92
AF52_02670	96	90	178	254	197	436
AF52_02671	58	3	33	67	79	68
AF52_02672	72	3	67	98	79	126
AF52_02673	62	34	78	138	43	212
AF52_02674	5	0	2	39	43	40
AF52_02675	116	58	24	321	227	402
AF52_02676	0	6	2	56	108	93
AF52_02677	576	349	425	1977	1454	2226
AF52_02678	62	81	112	231	110	294
AF52_02679	306	227	314	273	227	328
AF52_02680	774	443	478	884	551	1302
AF52_02681	54	37	23	40	84	62
AF52_02682	23	33	29	59	4	104
AF52_02683	38	34	81	181	129	204
AF52_02684	1213	455	667	1747	1801	2990
AF52_02685	716	376	450	1444	1239	2244
AF52_02686	621	299	605	494	497	716
AF52_02687	466	250	329	954	712	1001
AF52_02688	249	95	152	452	436	761
AF52_02689	116	113	165	114	99	241
AF52_02690	245	196	169	713	491	693
AF52_02691	148	107	234	250	259	406
AF52_02692	139	58	58	657	433	625
AF52_02693	112	49	83	113	97	151
AF52_02694	485	253	392	727	803	809
AF52_02695	154	193	211	232	248	193
AF52_02696	163	112	196	261	165	485
AF52_02697	57	66	41	32	67	143
AF52_02698	103	29	68	16	2	61
AF52_02699	138	41	90	81	15	133
AF52_02700	324	222	181	401	492	453
AF52_02701	333	223	195	565	491	755
AF52_02702	893	370	609	1122	1053	1781
AF52_02703	358	135	408	555	826	1005
AF52_02704	238	104	127	441	437	911
AF52_02705	434	304	521	1195	1235	1683
AF52_02706	290	105	173	606	388	574
AF52_02707	2	12	2	184	137	123
AF52_02708	166	134	249	357	453	497
AF52_02709	207	192	159	299	245	408
AF52_02710	439	200	521	818	551	1006
AF52_02711	187	101	140	246	331	395
AF52_02712	90	140	124	369	208	301
AF52_02713	568	297	495	625	688	1149
AF52_02714	330	125	193	359	249	521
AF52_02715	1685	893	1439	1732	1775	2311
AF52_02716	405	128	395	577	593	936
AF52_02717	186	144	179	616	660	834
AF52_02718	178	88	160	462	288	714
AF52_02719	139	37	141	240	166	361
AF52_02720	86	39	43	169	79	208
AF52_02721	3687	2716	3248	3722	3545	5735
AF52_02722	1013	605	881	3464	2534	3867
AF52_02723	978	463	820	1296	1194	1758
AF52_02724	949	442	788	1360	1151	1720
AF52_02725	279	116	116	2788	2207	3829
AF52_02726	602	357	464	23646	23458	37630
AF52_02727	276	135	220	52097	44717	65533
AF52_02728	12996	7359	10869	30314	27381	37416
AF52_02729	2160	1312	1743	4568	4097	5787
AF52_02730	814	302	768	1659	1356	2254
AF52_02731	1141	401	727	1168	832	1478
AF52_02732	5468	2998	4217	3389	3361	5036
AF52_02733	1029	618	768	1776	1713	2447
AF52_02734	490	212	338	692	523	824
AF52_02735	1711	732	1474	1632	1185	1551
AF52_02736	2518	1024	2058	422	297	504
AF52_02737	6277	3025	5200	335	223	411
AF52_02738	3329	1485	3382	291	169	291
AF52_02739	17267	9275	14705	15389	13554	20423
AF52_02740	4206	2150	3180	6354	5790	8668
AF52_02741	6487	3010	5155	6267	6022	9881
AF52_02742	717	212	564	1123	1161	1449
AF52_02743	1180	638	699	2510	2742	4364
AF52_02744	632	462	475	2265	1964	3054
AF52_02745	286	238	183	560	528	566
AF52_02746	271	206	235	664	407	788
AF52_02747	2767	1558	2159	4354	3544	5746
AF52_02748	109	43	74	126	90	160
AF52_02749	269	101	204	354	335	479
AF52_02750	66	53	59	436	351	566
AF52_02751	208	94	168	309	264	406
AF52_02752	90	59	96	132	102	162
AF52_02753	18	0	0	112	146	106
AF52_02754	191	70	158	1064	942	1554
AF52_02755	205	93	172	277	251	399
AF52_02756	213	97	141	192	179	286
AF52_02757	2416	1550	2062	5731	5706	7907
AF52_02758	897	474	620	4790	4478	6461
AF52_02759	997	465	834	1269	1140	1780
AF52_02760	806	357	607	307	285	401
AF52_02761	276	167	415	404	274	418
AF52_02762	778	280	469	1122	814	1101
AF52_02763	453	532	495	1059	1030	1502
AF52_02764	1014	617	858	1955	1269	1985
AF52_02765	293	171	307	263	401	844
AF52_02766	46	46	31	28	61	71
AF52_02767	88	62	100	116	69	124
AF52_02768	359	201	400	888	765	1064
AF52_02769	618	459	636	1523	1183	1790
AF52_02770	90	60	89	588	381	330
AF52_02771	153	147	191	169	309	232
AF52_02772	131	101	114	182	86	128
AF52_02773	155	137	121	233	155	366
AF52_02774	189	146	172	289	251	484
AF52_02775	222	135	128	1620	1173	1911
AF52_02776	716	404	562	1231	848	1536
AF52_02777	894	533	546	1741	1485	2506
AF52_02778	330	170	170	431	389	577
AF52_02779	193	89	102	518	313	548
AF52_02780	10117	3499	9036	16744	14155	25023
AF52_02781	28397	14798	22871	35569	32425	52643
AF52_02782	4068	2480	3356	3770	3373	4571
AF52_02783	1528	1180	1464	2208	2409	2557
AF52_02784	4063	2256	3715	5529	5196	6887
AF52_02785	1081	979	775	2767	2385	3090
AF52_02786	1288	768	1013	863	1100	1506
AF52_02787	1383	934	1277	936	1267	1663
AF52_02788	1800	946	1430	1679	1715	3059
AF52_02789	3918	2353	3552	6779	5638	9019
AF52_02790	1046	477	910	1689	1716	2402
AF52_02791	1569	842	1098	1850	1460	2301
AF52_02792	5879	3386	4920	5389	5382	7035
AF52_02793	4607	2256	3741	2979	2769	3781
AF52_02794	321	122	226	213	319	502
AF52_02795	428	291	413	424	386	618
AF52_02796	1423	879	1060	2090	1946	2904
AF52_02797	2061	902	1534	2052	1669	2879
AF52_02798	477	321	610	126	242	263
AF52_02799	883	588	660	689	641	1186
AF52_02800	344	194	327	1236	909	1735
AF52_02801	544	260	425	10950	10263	15912
AF52_02802	44	24	142	473	215	541
AF52_02803	463	254	474	2029	1416	2094
AF52_02804	378	253	339	627	566	893
AF52_02805	176	131	170	405	232	240
AF52_02806	239	121	125	234	161	202
AF52_02807	66	58	141	56	93	145
AF52_02808	151	160	77	56	85	70
AF52_02809	126	8	78	7	78	56
AF52_02810	1061	730	989	37490	33809	55037
AF52_02811	910	515	1031	11804	10453	17079
AF52_02812	19822	11586	17914	7384	7235	10401
AF52_02813	829	438	571	982	866	861
AF52_02814	1716	800	1507	4220	2806	4842
AF52_02815	1442	673	859	2629	2211	3194
AF52_02816	1303	852	1107	767	975	1051
AF52_02817	2625	1442	2193	5840	5183	8602
AF52_02818	111	47	89	148	124	422
AF52_02819	1318	797	1135	893	935	1579
AF52_02820	3222	1930	2679	2954	2713	4738
AF52_02821	634	344	718	446	372	393
AF52_02822	428	396	491	1321	1182	1899
AF52_02823	731	493	604	494	361	880
AF52_02824	479	201	326	806	547	934
AF52_02825	405	198	324	555	438	772
AF52_02826	1106	764	655	1944	1757	2525
AF52_02827	1366	864	1113	1445	1558	2271
AF52_02828	755	484	730	1336	1003	2022
AF52_02829	330	157	459	492	488	818
AF52_02830	2509	1139	2425	4589	4020	6092
AF52_02831	5335	2375	4305	15199	12429	19297
AF52_02832	1609	687	1415	4516	4417	5823
AF52_02833	2548	1503	2281	2394	1868	3107
AF52_02834	1053	459	642	259	336	691
AF52_02835	227	75	60	52	51	107
AF52_02836	624	208	230	257	465	400
AF52_02837	399	337	395	907	825	1150
AF52_02838	191	179	146	1553	1444	2472
AF52_02839	43	12	35	443	367	479
AF52_02840	303	127	263	1787	1372	1862
AF52_02841	0	16	0	38	0	28
AF52_02842	230	170	308	290	173	439
AF52_02843	730	315	230	502	601	855
AF52_02844	202	45	128	247	144	236
AF52_02845	632	377	730	447	538	586
AF52_02846	441	303	660	327	447	463
AF52_02847	945	504	558	950	677	1611
AF52_02848	247	65	141	702	421	611
AF52_02849	192	63	192	900	740	1483
AF52_02850	553	222	342	2002	1415	2543
AF52_02851	32	20	34	126	93	83
AF52_02852	131	45	109	252	123	289
AF52_02853	67	27	1	45	83	139
AF52_02854	205	189	222	520	395	604
AF52_02855	1020	458	783	1254	1101	1709
AF52_02856	62	46	119	329	356	624
AF52_02857	1145	949	1218	1135	996	1472
AF52_02858	363	167	454	380	411	786
AF52_02859	3908	2068	3665	5608	4885	7934
AF52_02860	371	149	379	2031	2017	2961
AF52_02861	228	99	273	666	415	1054
AF52_02862	563	137	350	604	717	914
AF52_02863	418	194	327	614	646	787
AF52_02864	1074	691	1075	2339	1855	2936
AF52_02865	1382	612	1381	8277	6782	9783
AF52_02866	708	468	654	2037	1690	2628
AF52_02867	227	75	282	1640	1450	1803
AF52_02868	77	59	89	487	581	733
AF52_02869	427	288	346	1126	936	1423
AF52_02870	707	586	862	1688	1366	2087
AF52_02871	2254	1538	2744	5249	5214	7469
AF52_02872	290	159	187	1111	1054	1506
AF52_02873	1003	496	777	1303	1102	1732
AF52_02874	7374	3952	5389	1970	2114	2536
AF52_02875	3976	1802	2825	3065	2362	4176
AF52_02876	160	153	149	413	241	531
AF52_02877	906	629	1014	1452	1309	2788
AF52_02878	196	82	86	368	297	258
AF52_02879	69	24	148	162	168	102
AF52_02880	468	199	343	681	778	1063
AF52_02881	196	53	64	276	328	375
AF52_02882	74	7	28	313	127	297
AF52_02883	319	107	224	648	443	766
AF52_02884	254	46	181	278	295	417
AF52_02885	825	518	734	1088	869	1495
AF52_02886	9890	5594	9273	5396	3866	8205
AF52_02887	1332	748	1155	491	523	799
AF52_02888	1654	880	1322	851	728	1254
AF52_02889	1117	757	901	656	549	863
AF52_02890	1070	499	829	1516	1258	2369
AF52_02891	0	34	36	122	143	151
AF52_02892	7	44	0	131	140	59
AF52_02893	6	34	40	114	210	199
AF52_02894	95	50	51	70	91	181
AF52_02895	60	7	75	84	153	85
AF52_02896	38	38	15	43	31	98
AF52_02897	120	18	44	228	278	348
AF52_02898	251	222	208	61	95	300
AF52_02899	436	218	253	211	160	258
AF52_02900	435	321	290	431	590	788
AF52_02901	28	15	61	69	69	109
AF52_02902	442	339	307	1563	1134	1713
AF52_02903	1152	476	905	2048	1575	2587
AF52_02904	1514	713	1066	1899	1956	2897
AF52_02905	290	187	208	398	364	531
AF52_02906	3571	2242	3612	4322	3222	5590
AF52_02907	349	91	195	2454	2256	3262
AF52_02908	34	41	28	247	94	192
AF52_02909	189	59	144	464	341	405
AF52_02910	631	535	786	1303	1465	2171
AF52_02911	357	164	295	494	470	747
AF52_02912	591	273	507	738	644	930
AF52_02913	7473	4595	7858	38587	34718	52749
AF52_02914	869	512	733	2640	2102	3265
AF52_02915	5121	3068	5436	6652	7487	10862
AF52_02916	140	53	102	168	156	184
AF52_02917	1002	909	921	1416	1118	1763
AF52_02918	567	369	614	986	1052	1590
AF52_02919	3665	2143	3243	2503	2025	3446
AF52_02920	1125	497	1000	555	711	840
AF52_02921	354	136	220	364	372	467
AF52_02922	1948	888	1648	1908	1802	2958
AF52_02923	1221	509	1063	2680	2341	3748
AF52_02924	4483	3050	4166	11544	10859	15671
AF52_02925	2633	1409	2468	1971	1614	2652
AF52_02926	1286	758	835	1267	1236	2094
AF52_02927	889	419	573	1500	1303	1828
AF52_02928	1469	958	1012	2276	1756	2888
AF52_02929	1692	792	1266	1936	1916	3358
AF52_02930	4841	2456	4750	17424	16182	27155
AF52_02931	3161	1518	2739	2920	2468	3492
AF52_02932	908	627	968	838	596	1477
AF52_02933	8	3	4	0	25	16
AF52_02934	452	102	291	589	356	816
AF52_02935	72	25	111	129	129	104
AF52_02936	863	453	902	1228	764	1595
AF52_02937	3872	2400	3196	864	564	1071
AF52_02938	2088	1350	1991	464	351	657
AF52_02939	1779	1212	1416	416	443	433
AF52_02940	4256	2153	3437	1157	775	1568
AF52_02941	6972	4314	6166	3414	3304	5542
AF52_02942	10903	6604	9564	9475	8979	12485
AF52_02943	4428	2475	3727	4900	4858	6829
AF52_02944	252	85	292	571	342	511
AF52_02945	33	50	52	34	69	52
AF52_02946	93	44	83	138	57	214
AF52_02947	160	153	260	512	215	422
AF52_02948	6314	3165	5210	3882	3650	5269
AF52_02949	2717	1788	2703	3563	3099	4601
AF52_02950	3415	2154	2913	2270	1954	3068
AF52_02951	2038	1232	1851	4880	4301	6559
AF52_02952	472	322	334	1174	961	1873
AF52_02953	2552	1455	1926	5566	4580	8032
AF52_02954	1569	781	1672	5022	4620	6303
AF52_02955	1704	1121	1708	2687	2449	3840
AF52_02956	1242	653	844	3181	2456	5063
AF52_02957	325	179	429	697	1021	1311
AF52_02958	6191	3152	5139	3710	3008	5262
AF52_02959	1015	479	793	1332	1142	1803
AF52_02960	391	279	396	521	668	793
AF52_02961	1493	922	1688	856	649	1427
AF52_02962	364	127	238	167	116	149
AF52_02963	429	184	603	544	457	663
AF52_02964	601	506	535	1489	1090	1393
AF52_02965	204	141	176	1336	1154	1808
AF52_02966	4050	2817	2808	19565	16679	29760
AF52_02967	735	350	466	15615	12150	21461
AF52_02968	4081	2426	4360	1189	1177	1527
AF52_02969	4767	3449	5000	2146	1778	3162
AF52_02970	4079	2673	3240	13368	11624	18918
AF52_02971	2658	1424	2476	3302	3178	4890
AF52_02972	1603	1154	1232	4580	3676	6387
AF52_02973	498	290	377	2602	2146	3059
AF52_02974	9026	4543	5037	99089	90308	136768
AF52_02975	1362	362	987	9533	8191	11335
AF52_02976	675	130	311	2849	2335	3551
AF52_02977	1719	537	1040	841	397	982
AF52_02978	748	476	765	506	269	496
AF52_02979	810	437	455	355	416	581
AF52_02980	736	654	659	391	225	581
AF52_02981	1089	525	844	1476	1301	1802
AF52_02982	1568	749	1122	2558	2537	3645
AF52_02983	685	346	553	3067	2579	4012
AF52_02984	281	77	222	4826	4145	7366
AF52_02985	1813	867	1293	1658	1631	2090
AF52_02986	266	299	269	414	397	495
AF52_02987	510	358	325	565	356	585
AF52_02988	1020	496	808	1320	1162	1768
AF52_02989	484	260	461	768	868	1060
AF52_02990	2549	1238	2292	5407	4828	6298
AF52_02991	1913	1357	1262	770	576	1030
AF52_02992	975	289	811	434	319	575
AF52_02993	2204	935	2132	1030	1148	1501
AF52_02994	1234	698	955	1023	1099	1637
